intent,question,normalized_question,status,reason,response_text,http_status,error
ask_advanced_analytics_templates (6 variations),Which Tier 1 companies offer more than 20 LPA?,Which Tier 1 companies offer more than 20 LPA?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_advanced_analytics_templates (6 variations),Which companies require DSA and System Design both?,Which companies require DSA and System Design both?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_advanced_analytics_templates (6 variations),Which companies have more than 3 interview rounds?,Which companies have more than 3 interview rounds?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_advanced_analytics_templates (6 variations),Which companies allow backlogs and offer high salary?,Which companies allow backlogs and offer high salary?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_advanced_analytics_templates (6 variations),Which companies require CGPA above 8 and offer more than 25 LPA?,Which companies require CGPA above 8 and offer more than 25 LPA?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_advanced_analytics_templates (6 variations),Which companies hire the most students and offer good packages?,Which companies hire the most students and offer good packages?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_allowed_departments (6 variations),Which departments are allowed for Amazon?,Which departments are allowed for Amazon?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_allowed_departments (6 variations),Can IT students apply for Google?,Can IT students apply for Google?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_allowed_departments (6 variations),Which companies allow CSE students?,Which companies allow CSE students?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_allowed_departments (6 variations),Which companies allow ECE students?,Which companies allow ECE students?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_allowed_departments (6 variations),Which companies allow multiple departments?,Which companies allow multiple departments?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_allowed_departments (6 variations),Which companies are open for all branches?,Which companies are open for all branches?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_avg_package (3 variations),What is the average package offered by Amazon?,What is the average package offered by Amazon?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_avg_package (3 variations),What is the average salary offered by Microsoft?,What is the average salary offered by Microsoft?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_avg_package (3 variations),Compare Amazon and Microsoft packages.,Compare Amazon and Microsoft packages.,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_backlog_rules (6 variations),What is the backlog policy?,What is the backlog policy?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_backlog_rules (6 variations),backlog rules,backlog rules,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_backlog_rules (6 variations),how many backlogs allowed?,how many backlogs allowed?,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_backlog_rules (6 variations),backlog criteria,backlog criteria,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_backlog_rules (6 variations),college backlog policy,college backlog policy,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
ask_backlog_rules (6 variations),general backlog rules,general backlog rules,request_error,request failed,,0,"HTTPConnectionPool(host='your-rasa-host', port=5005): Max retries exceeded with url: /webhooks/rest/webhook (Caused by NameResolutionError(""HTTPConnection(host='your-rasa-host', port=5005): Failed to resolve 'your-rasa-host' ([Errno 11001] getaddrinfo failed)""))"
